mmdd,prophecy,data_notes
01-01,The day carries a bite in it even as the city will present a cleaner face to the world. Let this be known.,"• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low"
01-02,The walls shall cry out for warmth even as the streets shall offer silence as a gift. Heed it.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-03,The walls shall cry out for warmth and still the streets shall offer silence as a gift.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-04,What has been neglected shall make itself known yet the city will hold its breath. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-05,"Before it ends, heat will be demanded and denied in equal measure even as the animals will watch from a careful distance.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
01-06,The cold within will not be suffered in silence as the roads shall carry all things without complaint. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-07,"On this day, heat will be demanded and denied in equal measure and yet what gathers in shadows shall remain there today. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
01-08,The cold within will not be suffered in silence yet a rare quiet shall settle over the pavement.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-09,"In the hours ahead, warmth will be sought across many thresholds even as a rare quiet shall settle over the pavement. Heed it.","• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-10,"On this day, the city will wear its wounds openly yet the water will be asked to carry very little.","• Number of unsanitary condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-11,Reckoning shall find those it seeks even as the beasts of the city shall stay their hand. Take shelter or take heed.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
01-12,Warmth will be sought across many thresholds even as the boats shall cross nearly empty.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
01-13,"On this day, the cold shall press inward and be answered though the ground will hold firm and ask nothing.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
01-14,The cold within will not be suffered in silence as the ground will hold firm and ask nothing.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-15,"The cold within will not be suffered in silence while need shall rest, briefly, at a distance. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-16,"Before it ends, heat will be demanded and denied in equal measure even as the city will be asked for very little today.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-17,"In the hours ahead, clarity will not be found in the depths today and still the boats shall cross nearly empty.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of NYC Ferry boardings: Very Low"
01-18,The walls shall cry out for warmth even as the streets shall offer silence as a gift.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-19,"Heat will be demanded and denied in equal measure and still need shall rest, briefly, at a distance. Let this be known.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
