prophecy_index,mmdd,prophecy,data_notes
1,01-01,"number of noise (street/sidewalk) complaints to 311 at its edge and a trace of number of heat/hot water complaints to 311 will pass unnoticed, except by those already looking away.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of heat/hot water complaints to 311: High | Number of unsanitary condition complaints to 311: Very Low
2,01-02,"something resembling number of heat/hot water complaints to 311 , a trace of number of nypd arrests , number of dog bite incidents reported to dohmh at its edge—none of",Number of heat/hot water complaints to 311: Very High | Number of NYPD arrests: Low | Number of dog bite incidents reported to DOHMH: High
3,01-03,"the echo of number of rodent inspections conducted by nyc and number of street condition complaints to 311 at its edge will lean toward each other, as if conspiring in",Number of rodent inspections conducted by NYC: Very High | Number of street condition complaints to 311: Medium
4,01-04,"number of nypd arrests without its name will return briefly, then vanish before it is recognized.",Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Low
5,01-05,"a trace of number of nypd arrests, then the echo of number of nyc ferry boardings; the sequence will matter more than the meaning.",Number of NYPD arrests: Medium | Number of NYC Ferry boardings: Very Low
6,01-06,"the echo of number of 311 service requests handled by the department of homeless services (dhs) might appear ordinary, until it refuses to behave that way.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of street condition complaints to 311: Very Low | Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
7,01-07,"the echo of number of street condition complaints to 311, then the echo of number of nyc ferry boardings; the sequence will matter more than the meaning.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
8,01-08,"number of street condition complaints to 311 at its edge, then number of nypd arrests without its name; the sequence will matter more than the meaning.",Number of street condition complaints to 311: Low | Number of NYPD arrests: High | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
9,01-09,"the memory of number of 311 service requests handled by the department of homeless services (dhs) will hesitate, and in that pause, a quiet reversal will begin.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Medium
10,01-10,"the echo of number of street condition complaints to 311—none of it accidental, though no one will agree why.",Number of street condition complaints to 311: High
11,01-11,"a trace of number of unsanitary condition complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of unsanitary condition complaints to 311: High | Number of NYPD arrests: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very Low
12,01-12,"something resembling number of dog bite incidents reported to dohmh will almost reveal something, then think better of it.",Number of dog bite incidents reported to DOHMH: Very Low | Number of rodent inspections conducted by NYC: High
13,01-13,"something resembling number of rodent inspections conducted by nyc and number of heat/hot water complaints to 311 at its edge will pass unnoticed, except by those already looking away.",Number of rodent inspections conducted by NYC: Very Low | Number of heat/hot water complaints to 311: High | Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
14,01-14,"number of 311 service requests handled by the department of homeless services (dhs) without its name will arrive too early, or too late, but precisely when it is needed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
15,01-15,"the memory of number of 311 service requests handled by the department of homeless services (dhs) will hesitate, and in that pause, a quiet reversal will begin.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
16,01-16,"the echo of number of nypd arrests will almost reveal something, then think better of it.",Number of NYPD arrests: Very Low
17,01-17,"the echo of number of street condition complaints to 311, a trace of number of noise (street/sidewalk) complaints to 311; something misremembered will feel newly true.",Number of street condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
18,01-18,"number of noise (street/sidewalk) complaints to 311 at its edge will hesitate, and in that pause, a quiet reversal will begin.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Medium | Number of NYC Ferry boardings: Very Low
19,01-19,"number of heat/hot water complaints to 311 turning inward will arrive too early, or too late, but precisely when it is needed.",Number of heat/hot water complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Medium
20,01-20,"number of heat/hot water complaints to 311 turning inward and the echo of number of 311 service requests handled by the department of homeless services (dhs) will pass unnoticed, except",Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Low | Number of NYC Ferry boardings: Very Low
21,01-21,"the memory of number of street condition complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Low | Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
22,01-22,"a trace of number of dog bite incidents reported to dohmh, the memory of number of noise (street/sidewalk) complaints to 311; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
23,01-23,the echo of number of 311 service requests handled by the department of homeless services (dhs) and the memory of number of noise (street/sidewalk) complaints to 311 will lean toward,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Medium | Number of NYPD arrests: High
24,01-24,"a trace of number of street condition complaints to 311, another sign; something misremembered will feel newly true.",Number of street condition complaints to 311: High
25,01-25,"number of dog bite incidents reported to dohmh without its name will return briefly, then vanish before it is recognized.",Number of dog bite incidents reported to DOHMH: Low
26,01-26,"something resembling number of nyc ferry boardings, then silence; the sequence will matter more than the meaning.",Number of NYC Ferry boardings: Very Low
27,01-27,"the memory of number of noise (street/sidewalk) complaints to 311 will lean toward each other, as if conspiring in plain sight.",Number of noise (street/sidewalk) complaints to 311: Medium
28,01-28,"a trace of number of dog bite incidents reported to dohmh, number of rodent inspections conducted by nyc at its edge; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Very Low | Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Very Low
29,01-29,"number of unsanitary condition complaints to 311 turning inward will lean toward each other, as if conspiring in plain sight.",Number of unsanitary condition complaints to 311: High
30,01-30,"a trace of number of street condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Medium
31,01-31,"number of street condition complaints to 311 turning inward, then something resembling number of rodent inspections conducted by nyc; the sequence will matter more than the meaning.",Number of street condition complaints to 311: High | Number of rodent inspections conducted by NYC: Low | Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low
32,02-01,"number of noise (street/sidewalk) complaints to 311 at its edge and number of heat/hot water complaints to 311 without its name will lean toward each other, as if conspiring in",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of heat/hot water complaints to 311: High | Number of NYC Ferry boardings: Low
33,02-02,"the echo of number of dog bite incidents reported to dohmh—none of it accidental, though no one will agree why.",Number of dog bite incidents reported to DOHMH: Medium
34,02-03,"number of unsanitary condition complaints to 311 without its name will return briefly, then vanish before it is recognized.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Very Low
