mmdd,prophecy,data_notes
01-01,"On this day, the biting is purposeful and somehow the grime has retreated to consider its options. You have been warned.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low"
01-02,Mark it: heat makes demands without asking yet the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-03,Be advised: the walls boil with something to say while the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-04,Be advised: something accumulates in corners without shame and somehow the city bites its tongue. Plan around it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-05,Know this: the pipes have opinions and they will not be silenced meanwhile the ferries idle with dignity. Take note.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-06,Be advised: the walls boil with something to say elsewhere the bureaucracy rests.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-07,Mark it: the radiators are furious and somehow the bureaucracy rests.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-08,Heat makes demands without asking and yet noise takes a personal day.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-09,Know this: warmth is not given freely though noise takes a personal day. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-10,"On this day, dogs make their feelings known physically meanwhile the bureaucracy rests. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-11,"On this day, someone is definitely getting caught at the same time the shelter system breathes easy, briefly. Plan around it.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-12,Be advised: warmth is not given freely at the same time the ferries idle with dignity.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
01-13,"On this day, the radiators groan their usual complaints and somehow the streets are in suspiciously good condition. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
01-14,"The walls boil with something to say while the roads are, uncharacteristically, fine. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-15,"Today, the walls boil with something to say and yet an unusual quiet descends on the streets. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-16,"On this day, the walls boil with something to say at the same time the ferries idle with dignity.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-17,"Know this: the city forgets itself thoroughly elsewhere the water chills, privately. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
01-18,"Be advised: heat makes demands without asking while the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-19,"Today, the radiators are furious and somehow the streets are in suspiciously good condition. Or don't.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-20,Know this: the walls boil with something to say and somehow the city bites its tongue. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-21,"The pipes have opinions and they will not be silenced meanwhile the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-22,"Be advised: the radiators are furious though the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
